wakeupduration,lightsleepduration,deepsleepduration,remsleepduration,durationtosleep,durationtowakeup,wakeupcount
2947,2989,5695,24602,7099,3869,15
2610,5847,15820,19340,169,3574,45
5891,1107,2038,1854,3170,2581,51
5031,2952,13128,1963,1311,1439,20
4389,3734,14122,50443,8628,3516,49
2739,3902,2889,36657,4482,4296,39
4980,1056,2931,13290,6790,646,44
4659,5693,17919,1110,8561,1025,42
3281,5308,4920,1774,274,3787,4
1771,3948,6957,20148,7017,3448,58
4050,1963,15996,40298,9752,3039,27
4844,4999,14723,58532,817,2361,48
2507,1953,8717,45729,6498,2404,46
2840,3208,10044,38498,8589,2001,41
2936,5012,14124,48114,8040,772,4
1899,2129,16938,43474,2988,1970,57
3840,4879,13711,37238,4871,136,37
2531,3408,1159,37379,1011,4363,9
1744,1582,5604,24075,4942,4559,45
3038,1462,14953,59284,569,2841,20
2571,3215,18904,17819,5414,1663,10
4502,4299,10618,12802,2529,2720,28
4189,2835,5957,49177,5374,4336,60
4716,5985,18888,24780,4905,1266,33
4584,5980,19647,43225,565,2815,44
1548,4455,1303,40166,4063,1016,56
4696,5323,4310,50949,6244,4779,43
4479,2192,4122,53222,3767,3651,18
2098,3738,16320,55252,550,445,54
3738,5087,10679,31798,9309,3300,18
3536,3971,14726,24532,7085,3510,52
5137,5394,16182,25450,9159,780,26
1820,4589,3167,54941,2462,4384,12
1859,2953,17448,37678,1141,4183,39
1800,5810,12089,53534,4595,303,7
1064,4208,10685,33969,2037,3126,55
3356,4780,13598,42758,9225,720,30
2598,3979,17664,30273,9994,2664,57
3240,2218,2986,18180,5313,626,52
5215,5074,9586,7312,3527,1498,40
3802,2382,16470,43117,9606,819,14
5326,3233,8427,49457,3085,3916,55
3068,5251,19766,25648,3509,2375,52
4086,1778,5722,3551,9857,1286,6
3975,2791,7179,52150,7167,2149,52
4387,2401,15168,8505,8965,4686,40
4430,2319,15610,19918,9093,4341,24
3371,1547,2496,36404,296,4366,56
1415,4983,14759,13212,7852,2583,49
1154,1582,13642,4633,1034,1343,6
1425,3242,1541,416,6350,3911,58
1905,3395,13995,9378,2955,4919,18
4716,1092,3693,31748,5153,1466,33
5082,4702,6949,7146,3153,1972,54
1746,4081,2119,29892,760,3815,34
1513,1390,15246,45282,6292,402,15
3228,3793,7645,41887,1473,1517,47
1852,3627,9721,32691,7805,2715,52
2116,2896,8649,18045,4661,3213,13
3768,5139,15957,15310,1118,4396,39
4872,5765,7690,54357,3401,1228,53
5917,4695,14342,144,4647,4960,28
3660,2245,11513,19906,3091,2720,48
5722,2427,14560,48335,8807,3136,5
3499,3887,3471,50164,4769,1729,27
4038,4036,3430,15883,2847,3405,39
5802,5618,18684,47995,4853,2651,33
2355,1628,19671,7727,270,3812,58
1676,1000,3391,41519,7171,430,43
3854,3279,14238,13334,966,4800,17
4095,1586,10315,58620,2108,1932,57
1212,4892,8424,20142,7285,1811,58
5480,4852,11699,21798,2161,2192,34
3491,3195,18152,31613,249,3170,1
3860,1019,1635,47593,6120,1300,40
1348,1909,7038,33679,1148,2388,16
5417,3893,3875,48091,759,655,44
4823,4276,3672,26305,3278,1500,27
1386,1803,8986,51794,6982,2783,42
5543,3390,18703,51351,1392,629,28
3266,3982,3651,49083,521,822,51
4461,1499,3857,36951,9426,3114,20
3888,2163,9231,59428,8512,781,12
4999,5182,18004,28201,6485,4853,12
4982,5100,8619,56339,3493,939,42
3589,1160,14292,47597,4398,4573,5
1383,1628,8208,42191,2601,4725,51
4063,2364,19049,9475,9036,4290,19
4413,1893,6146,32234,8070,3277,17
1936,1551,7397,21733,5838,4569,36
2453,4894,14870,45900,114,3693,6
5111,3354,15195,51394,8209,3054,37
3909,1782,14763,41719,4502,1497,35
3274,3897,19463,49683,1734,1234,20
1048,4358,18239,16846,4184,3357,48
5020,5059,12627,48607,7792,245,14
4892,5564,17419,48523,8743,1517,42
4242,3592,14680,25283,6023,1965,25
5741,4191,11732,36026,4461,1924,51
5529,1372,10754,1581,3705,170,2
5115,2367,4522,55538,8798,4484,22
1794,4437,6160,1753,1222,2537,32
3005,4372,16807,39703,1285,2563,10
2589,1909,18499,28460,7933,743,57
2728,4674,6262,6991,7387,3673,23
4599,4557,4166,18655,565,3045,31
4397,4652,9802,17350,2836,3005,49
5119,3901,8194,26511,306,583,48
5935,3738,18131,36946,1496,4963,16
3414,2797,10874,45164,9116,2347,59
1958,4618,14404,2624,5265,411,4
1882,3628,18793,34920,3742,3745,59
4356,3689,4919,45543,7812,4429,45
1115,5015,19916,50724,8630,3102,13
1529,2433,19855,29373,6320,623,31
1972,4560,19144,54781,1880,4572,28
2914,4736,15863,32221,4348,4433,41
1545,2615,19790,28564,9724,2797,43
3998,2283,18615,29452,497,808,27
3673,3052,5246,8071,8939,1242,14
1237,3303,16675,41061,3731,307,19
2490,2584,13834,30550,7371,2711,33
2980,5509,12521,6528,4791,3653,10
2609,1552,19090,22955,9556,2328,14
3210,4994,14712,33471,2794,2497,1
4327,2337,2323,50881,4405,3715,30
4074,3687,13874,55944,3105,4680,33
1336,4870,9652,51954,9687,748,58
2547,4823,10120,49381,1087,932,49
5580,1796,16250,49210,3944,2027,51
2853,1306,5532,28748,9339,1527,43
1703,2217,17169,51835,2479,4545,13
2767,3167,4185,40690,364,4573,14
2048,3540,7808,21606,1640,3668,33
4027,2292,6253,29644,4683,2027,57
2971,4480,11114,32812,9923,1474,5
1324,4901,19535,33256,5719,3815,26
1583,2527,7816,5657,1685,2245,39
1848,1742,9784,16055,9771,463,5
2625,2891,11441,44789,6139,2326,28
5646,3929,15930,51769,8091,741,20
4226,4556,1237,21057,153,3283,37
2480,3192,10701,54996,3243,1380,7
2968,3525,6464,33511,2300,1095,8
2641,1036,19743,47230,7141,3504,51
4765,2552,8814,22757,4482,1690,11
2592,4038,11306,59554,3227,4036,1
3210,2618,8688,24814,3442,1433,14
4646,1434,8738,29777,8791,2886,19
3751,3320,9299,33996,351,3208,16
3112,4940,19225,19517,8017,4218,16
2185,4527,16801,15636,5678,1780,34
2281,3519,10389,15595,4513,321,47
4349,2275,18605,3289,181,4685,51
5506,3905,2373,30332,8044,3027,9
3785,5016,4756,16973,1019,522,39
1335,4493,3410,53933,3959,293,13
1233,1508,18867,29643,4518,4980,37
1522,2233,12043,26088,9565,4758,36
4143,1532,12038,35866,9363,1446,60
4000,2104,15532,11177,2683,3255,47
4434,2120,11135,55698,4636,1485,45
2376,3933,15235,30542,8588,4303,14
4942,4544,18955,23578,6867,584,2
5561,3191,16659,43071,6249,611,28
4667,2888,5712,6463,8272,2880,59
4312,1996,12314,10754,1050,1188,33
2377,4186,3818,22694,3176,1672,39
5759,5469,19240,45757,4159,2740,46
2467,2006,2825,679,8609,3311,15
1114,5763,7292,11310,646,2569,27
1711,4538,12710,53809,4968,3738,9
1618,5594,2228,43957,7369,2540,10
5171,5424,17834,10553,4893,3558,49
3957,4022,8416,15248,8870,869,33
3048,2177,14098,40242,3652,2790,22
3057,4289,6384,5598,3228,2761,59
2743,3942,13110,31180,6890,2428,38
3838,2095,6255,54675,6949,463,21
5027,3044,18114,18116,2244,1363,43
2244,2669,12115,58372,4118,2949,8
1159,2746,18584,52712,9176,1000,15
3861,5317,6582,9551,4638,3236,8
1662,2459,1245,28974,9644,4737,30
4483,3172,13385,29267,1510,1393,4
3726,2782,1554,46348,1892,1077,13
3826,5669,15483,111,4474,619,50
5444,4578,2221,29548,7557,4541,20
5960,1244,13136,43201,5371,3751,56
1413,3244,19141,9862,6814,2656,18
2219,2479,19151,32176,7913,247,18
1085,3664,18892,50681,8279,2849,28
3998,1670,14528,41170,6603,1306,6
1076,5420,10154,16664,5683,4377,9
4464,2326,8759,45631,1268,2085,10
1791,4430,5211,17506,9077,2046,19
1827,4917,10054,18143,3495,3006,50
2528,5732,10235,58799,3051,2582,2
1251,5888,1437,32185,8303,974,29
5242,3691,2557,15611,8570,1587,30
3371,3656,18405,33060,597,3253,38
4845,4418,12108,36632,6151,2105,43
1314,5077,16030,19282,9335,2798,48
1726,3526,2991,22453,8400,3505,26
1674,4043,5129,34210,1399,562,18
1446,1764,11696,7263,2350,1578,39
3994,3978,11344,19162,5003,3021,52
4376,3659,14589,52999,458,4084,15
2743,2983,15513,53434,9354,3071,16
1592,3772,17844,25761,3235,4935,14
4852,1772,12125,26121,7352,3983,9
4575,4720,4999,12165,6268,2591,19
4074,1184,4099,10339,7566,3463,48
4680,5261,11465,44656,4345,3703,8
3719,5970,12939,43301,6207,481,49
2844,3117,6701,19314,9807,4243,53
2205,5896,6294,56036,9691,707,1
1251,1295,17950,17042,168,4489,52
3428,1283,15878,56936,9479,2038,11
3437,5438,6716,40650,1178,3022,58
3466,2728,5452,26334,9543,4604,57
1659,3700,11960,26164,2185,3516,25
2664,3487,6654,6800,7040,4806,31
4769,5867,13719,48244,3001,1462,54
2697,2532,5906,4944,3112,1549,21
5239,5219,6049,14512,6175,104,26
4746,5562,18085,37220,142,2946,15
2768,1647,11507,22706,8161,2145,22
1872,5279,8089,39800,4690,4541,13
1965,2633,6703,58590,9553,1638,10
2302,5336,2689,5438,8406,4611,48
3098,1785,19361,5105,5827,2723,31
5849,4404,10681,22774,2877,2787,1
5189,4619,19981,38904,6353,4522,29
2270,4663,1376,9808,9879,838,19
5906,4994,17888,47317,3424,2731,58
2451,2217,4781,11020,5375,813,31
1881,4144,18294,21500,7355,3147,58
1184,5000,17217,56946,395,2028,27
4974,5925,3481,28101,7812,3010,10
2871,1185,5746,35555,8558,5000,24
2953,5977,8234,46321,1640,2122,19
1950,1509,15933,7794,1041,4222,50
3995,2034,18860,34965,3715,2903,57
3254,2479,7040,49089,8738,2940,30
4785,5126,10011,27922,7843,3868,38
2546,4887,19830,15774,4980,3947,49
4447,2483,14989,23766,8583,1662,33
5827,3129,10371,28900,9678,1004,42
4597,4077,3824,57924,7889,336,20
5416,1586,1649,30116,6346,172,36
3465,4431,9772,56064,388,965,4
4656,4240,8266,58005,9718,1498,41
2561,4605,14450,277,5317,896,23
4961,1782,19362,44007,724,3915,56
4623,2532,8155,47557,8379,240,18
2783,1353,18948,53493,9654,1526,55
3057,3459,3710,34397,3895,742,39
3882,1011,17090,17826,1407,3119,42
2012,2847,15391,37903,1128,4702,37
2249,4591,10840,46265,8939,517,22
2522,1553,8596,1105,5396,4238,56
5226,2523,2638,49622,4843,2650,40
2344,5606,9324,14815,6325,3291,37
5882,1069,7408,29294,5419,2953,59
3493,2063,11292,59758,6509,230,35
5240,4791,3960,26065,8698,3263,15
4750,5576,18861,8730,6811,4653,29
3737,5369,1464,32991,3310,4500,35
4805,2779,11320,31501,9303,2059,16
5675,1763,4941,5864,1665,4081,5
3615,1328,3052,48966,5554,2847,21
4013,4501,12203,12258,4504,2910,15
2000,3032,6901,49658,4488,360,11
4634,4794,7324,23980,3583,4058,42
4705,2976,18879,58497,4023,2458,30
4183,1741,12999,25936,820,1638,35
3723,4201,18741,21200,4971,3007,8
5735,1280,12842,40277,6552,4491,35
1862,1774,7423,562,5133,189,48
1398,5300,17682,29881,5092,3384,43
3872,4856,3033,8380,7953,4310,14
3346,5426,9806,15888,1170,2719,15
5633,3158,10117,10687,1018,3975,21
2363,5969,12002,31037,7405,2103,53
3692,2107,13102,58345,4118,2335,21
3787,2141,12765,7803,8708,4774,27
4976,4110,13651,49010,1205,3448,59
3047,2933,5446,56544,2938,964,13
4118,3782,15233,9404,3821,918,40
1692,3740,9326,50204,8186,1537,55
5270,3904,19177,58091,2847,4745,16
1659,4627,14632,32915,8499,1513,16
3052,3910,4389,30097,5720,3044,19
5102,2133,5343,13814,4451,3752,21
3473,2608,2005,49357,9733,2383,46
1284,1566,10723,28968,357,2083,15
2123,1112,1962,40166,4509,4886,59
3776,2230,17212,18112,7439,2730,10
2653,5828,6282,31385,1456,2160,58
5233,2090,11222,11515,3425,2644,20
2275,4525,6025,52466,2010,146,47
5700,5746,1996,41720,8304,219,54
4497,3822,19815,1939,527,2940,36
1747,5056,12719,27936,7000,1587,17
4355,1585,13329,20106,2039,960,38
4884,4976,1826,50637,6715,1958,44
4446,3612,9165,55674,3826,1164,38
2258,1782,16249,454,8050,3889,5
1751,1958,8068,43387,6293,2475,24
3311,3681,8777,38584,5582,1832,4
3439,5714,15275,49846,4133,3921,52
5132,1401,11044,55787,6226,2193,30
4210,5241,5436,24690,8748,3135,3
5122,3214,5322,3550,9176,4933,34
1340,5857,2561,24219,3456,4246,8
1267,3289,3672,39891,7330,3314,52
2714,3152,4546,44364,8767,1434,48
3280,3969,6508,46397,5615,776,46
4298,1399,1772,58295,2059,378,51
1773,5314,6880,36437,8542,1769,22
5924,4621,8506,6443,6655,881,10
2546,1197,4710,49904,5191,646,14
4099,5569,18698,38548,9311,689,21
5831,4839,15844,556,6746,1749,35
1031,4879,16756,30846,1528,4289,3
5379,3882,19245,6668,498,3139,49
5930,4843,11789,46501,706,2352,41
1628,1271,17859,19546,1112,3238,52
1459,5697,6587,530,8786,2096,2
3546,1046,17847,299,1188,4629,44
2651,4176,19248,34453,7512,4301,41
3772,3471,4215,7193,119,2697,51
4354,5091,19805,55636,823,2218,15
3047,1822,17057,36478,6455,1473,33
4494,2513,19880,31467,6142,3291,24
3340,4879,19931,45824,5881,178,38
4960,1617,4946,35769,7040,3611,30
2504,2650,9276,53926,9429,2428,53
5117,5527,17112,38018,4466,1560,49
2078,4681,12210,59128,8106,4150,7
2993,5323,11844,53927,7452,4959,20
2089,5070,6099,30478,4826,1271,20
5431,1079,11294,23119,3951,827,47
1187,5625,18736,33665,7522,4948,40
2371,3877,15647,47102,3194,3993,29
3423,1320,6764,9538,4069,1987,47
2332,1849,3065,22805,971,1602,1
2621,1337,1349,30315,5655,2419,55
3750,3267,6944,42077,4337,1177,60
1904,2017,18683,41415,2362,481,24
3916,2586,11663,28760,4724,504,37
3205,2382,10049,48151,9165,1500,26
5144,3339,1100,11853,2837,955,30
4914,4969,4581,59648,6403,4027,24
5375,1431,5527,50380,9593,2892,27
5792,2267,2589,10888,301,732,47
3579,3148,2508,58983,5175,427,2
3342,4793,18967,38331,4857,3145,37
5727,4905,6896,16751,8972,1630,34
1596,3707,3060,37991,2939,2077,5
5802,5562,1057,57267,7755,2312,19
5004,5607,8141,51229,7045,684,46
4160,3881,17445,41061,7246,620,1
2402,4764,19353,30666,441,2590,11
5464,4734,19460,45752,678,2244,56
2884,5464,6641,10354,5735,2981,54
3547,1113,9924,38523,8086,2071,1
1257,3249,15115,23092,6841,1136,21
2642,2524,4327,30141,5038,4834,44
3267,5587,11345,43736,7529,1058,39
4514,4318,18625,40545,9085,2454,36
5014,2639,19635,56836,7287,2364,12
2478,2650,18739,58450,7969,2666,40
1955,4915,5993,37310,7447,4366,41
5321,2985,15455,55165,6295,3842,37
4329,5079,7307,43128,7530,3540,1
1267,2242,8904,18811,6185,1261,9
5573,1552,16137,1650,2613,996,26
4542,5556,5295,54113,7917,4535,48
5277,2919,1352,53332,313,2381,21
3721,1364,3804,25847,3404,4097,23
2574,3623,12457,26702,2334,4339,10
4144,1707,1580,34485,5283,2442,24
4330,4485,3847,59554,2009,3539,45
3494,3806,9850,28630,4657,2853,32
5096,2203,18224,47779,6393,2821,56
2187,1337,6231,32797,1852,2603,6
3302,4126,13728,20464,9799,4350,23
4872,2492,10407,53059,4879,4968,13
4547,5851,8066,26120,6392,3310,49
5545,2332,16959,40321,5341,4265,26
5049,2231,9515,35051,1679,1353,2
3404,5479,14893,22092,5683,4378,46
5206,5953,6827,41788,5871,4769,19
2810,3231,3757,30438,9252,4699,32
1910,2936,18223,54859,2870,2291,5
1735,5107,1965,33885,7157,4212,10
3651,1067,5917,48152,7689,1098,58
2467,1832,14578,25643,5008,1482,14
5713,4248,16503,42350,5146,3595,21
3167,1713,16018,8846,2727,3101,8
4825,4719,7935,46234,1560,4558,28
2369,4125,16410,10242,8902,185,37
2755,3292,7619,29844,250,1170,51
3012,4589,7216,20641,8507,2227,1
5931,2128,18147,34142,3178,3797,7
4842,2607,5804,11694,737,2134,53
1967,5212,13703,48554,9946,2101,34
1130,2708,9192,43169,6288,4623,31
1891,1176,19440,29165,4842,4923,1
3391,4262,19392,27473,5242,4359,17
1473,1262,17016,11652,1840,4225,49
1333,4881,3797,52630,1394,1509,54
4028,2005,9622,33448,5095,3037,37
5452,5424,15025,5481,1180,4951,13
4239,1937,7413,19231,7718,2100,44
1420,2954,8668,10805,9631,3360,36
5211,5458,8115,52163,6844,627,9
1663,3566,2149,2767,6559,2383,53
2127,5925,10575,29177,108,2715,44
4624,4959,4254,18479,8546,2243,31
2625,2325,17814,37529,6161,2457,50
1284,2562,6853,1397,2122,2075,59
1565,5949,8744,20046,3029,141,46
3749,1988,6221,40688,7005,4994,43
3607,5760,15799,15976,2385,4617,59
4399,4734,3425,21391,7733,1574,37
3514,5036,10098,27527,7627,2652,55
5419,5624,9646,45902,5771,3856,43
4073,3683,10796,47565,2736,341,6
5388,5891,5249,43559,6340,3245,4
5132,1040,14526,22185,3524,2915,54
5678,5353,4038,25699,5871,804,27
5656,2598,4324,20122,7342,2940,3
5019,1360,16710,2863,6945,2410,54
4680,3184,10848,20680,7976,4326,44
4588,3013,5698,38741,1861,4934,58
4154,5161,1998,55766,2629,270,3
2165,2403,17888,49179,5462,1215,38
4760,5077,18561,14029,7773,3728,11
3250,4063,7370,4464,7826,2208,1
1904,5880,6621,168,199,2177,1
3770,4685,8387,113,5154,3657,18
3936,1195,15574,16399,4324,1971,51
1347,1656,11039,42113,3600,4257,47
3378,2271,19568,22403,6504,3264,18
4266,2578,4806,18896,1843,4463,48
1197,1295,9981,13906,9837,3629,24
2298,4322,11973,48974,3531,2445,28
1793,1608,18629,4965,4176,3008,28
1249,1941,17112,30974,6064,4807,44
1672,4204,14244,29742,3676,2673,17
4077,2530,14369,16388,8671,1412,56
1184,5251,10055,20212,2325,4613,55
4869,2631,4509,25667,7066,1471,35
4977,5038,19442,22110,6565,966,33
2846,2846,2592,9795,2308,519,37
4770,5384,15979,46909,5693,4339,29
3607,5424,17069,57321,6945,400,25
1465,4407,9098,9836,7713,2555,23
1934,4333,4404,38980,9302,2851,47
5043,2226,12812,37023,9034,2813,57
4222,2078,14333,44810,6870,256,38
4195,4809,15215,39314,7319,3116,53
5963,4810,7252,17582,3982,3012,6
1318,5272,17795,18649,1222,1694,52
1369,4383,10555,43978,7908,3630,27
1497,3748,19780,45149,5321,1493,35
2300,4740,5837,2247,347,165,24
2881,3214,12639,55373,4438,1614,35
5093,4215,14492,55378,5509,901,51
2057,2070,8992,37012,4243,2602,32
2000,4908,10506,38187,5398,4902,36
1835,3093,4832,41916,5218,1701,41
3554,3332,15990,55716,3321,2892,2
1075,2786,4181,58172,6924,1576,17
3856,4357,9298,57106,1235,1824,27
1255,2153,8530,5795,5464,4182,2
1657,3599,4857,38037,7421,4546,52
3369,1617,12094,55121,1246,981,46
5247,5354,2013,10660,4872,4944,14
1969,4769,18571,30090,5251,3521,35
2376,4615,14017,26892,2441,1589,35
2823,1125,16378,4742,7464,4096,13
1361,1106,2635,38069,3368,1139,27
3936,2671,3841,37477,788,2263,31
2027,1004,2874,32832,1167,4952,37
4992,1038,4610,25816,4375,1971,1
1150,3835,14424,33054,9073,1091,48
4629,5833,11058,2859,6963,4356,43
1406,1529,2164,22066,8717,2537,49
3697,5535,19351,54518,3197,1886,52
4975,4317,5362,56395,2343,4536,38
1807,1070,19240,38336,1607,3878,34
2436,2095,15800,16944,4192,1923,33
3977,2068,18866,9796,7582,2636,40
5277,1372,8534,16660,9590,4798,35
5383,5739,17290,54820,1168,2995,22
3458,1659,9904,20004,5291,830,41
4279,1482,6051,17833,2261,4848,35
4376,5359,7951,20198,291,1203,13
1258,4578,11981,50952,8462,2124,5
4897,4628,4520,25737,6003,4971,51
2475,5216,3213,42461,7024,1718,34
3683,3450,19811,7813,6788,3907,30
3820,5065,11174,5799,3412,3721,13
2884,1117,13398,15922,6152,2834,35
5440,4278,13823,19582,6454,2616,22
5217,5806,7450,20052,3698,2039,21
5017,3291,9205,14862,8605,4988,11
2794,2537,9135,54438,3625,4089,38
1648,1114,16254,22335,6567,1081,27
5502,5784,2011,46962,6556,1671,25
5579,2292,2113,425,9971,4518,21
3498,5163,10433,31267,1189,1424,21
3899,1824,6227,30991,3174,205,43
2792,1769,14805,18311,8691,1858,52
1082,5376,7935,52598,9941,3689,48
4550,5380,3336,29851,2264,779,42
5910,1724,4942,42148,8538,3488,8
5052,2510,6599,5643,9757,3619,2
1325,2740,4633,29571,8615,1313,47
3038,4192,3536,27527,321,3739,45
2505,1875,8141,8011,6458,3935,46
1037,3568,4291,33902,496,1819,2
4758,2983,16911,22360,768,221,24
5733,5454,9867,39521,898,4437,25
1332,5924,9488,41687,7172,4645,12
5197,4243,10408,29829,1784,2707,14
2303,4630,10827,40256,4698,4459,60
1732,4846,5418,55573,7066,1146,28
5123,1156,7182,6443,8261,2513,39
4980,3555,19270,18260,6745,4691,22
5694,1450,11092,36760,2171,4454,47
1138,2761,3993,3333,3432,3739,11
2776,4330,13159,57864,256,482,43
3778,2402,7809,3893,521,287,42
1051,4976,7341,36243,8537,3485,53
2667,2398,3564,42975,9485,1309,58
2194,4180,16520,595,3862,870,4
2634,1745,10122,9500,3135,2121,47
3240,5535,11497,52022,2005,4088,53
1639,1313,4444,36915,6183,2918,35
3238,3072,15162,48616,8202,4483,51
3299,2944,16291,37702,7651,389,14
4062,5761,3366,12893,4978,368,2
1652,3303,18669,58007,8645,864,18
5775,4589,17755,14171,9413,3450,57
1835,5124,9585,40624,8685,160,45
3489,1608,13847,49998,2565,3468,22
2685,1203,8337,22500,9157,3457,19
5441,5405,15622,54525,4714,1389,60
5852,5463,17558,7892,7051,4121,36
5935,3659,6651,50981,7602,2958,31
3103,3248,10663,49972,9269,435,9
2157,1966,1166,27232,4758,622,43
5814,4938,13845,10152,9022,927,47
1105,1570,19736,38450,4832,2811,50
3568,2764,8997,46361,9807,3316,30
4671,3308,17951,40738,5031,369,43
5095,2140,16174,54352,7160,2557,45
5583,4172,4599,21468,3013,3268,50
2564,3620,5222,22526,3925,4256,56
1265,2182,1819,19296,7732,2037,6
1160,4909,7356,22764,7796,2021,13
1369,3403,5897,20079,4480,947,50
2668,4170,14105,40148,4410,2775,8
5879,2260,16686,46187,3295,3724,30
2148,3935,3413,25431,6923,1153,49
1724,3639,6649,41566,9582,2568,31
2001,4663,19905,53617,4883,492,54
4255,1323,5296,2314,165,3767,18
1584,1750,9819,14978,4599,3837,13
3920,1462,10406,53630,1021,1871,1
2385,1097,2790,20453,2510,4265,55
5405,5802,4921,1090,7701,1043,49
4711,3883,11553,6699,2753,1473,43
4264,5323,10790,57655,6655,739,18
1669,5097,15615,12863,6617,2303,9
3643,1980,5415,48167,2504,1305,19
5581,1053,2588,42432,4735,2282,29
5240,5337,9185,20338,7486,3153,20
2488,1015,3370,5443,3627,4601,19
2351,1579,9549,52789,5539,2166,52
1150,5338,5472,35716,7236,372,37
3939,5868,1653,15950,2237,3991,53
4655,5981,6032,3402,2592,3246,58
1402,3268,8369,25497,7621,3410,26
1508,5280,1798,3074,8429,4797,57
3663,2607,5186,18613,4606,574,54
5210,5648,4068,45859,9236,2335,24
4957,3184,6567,6743,5198,1194,54
5607,5951,17452,50993,9836,3890,19
2429,4119,10249,43121,7316,4345,31
1880,5079,13314,18875,6184,3388,20
4077,4091,17177,28926,3497,4768,32
3257,3979,5098,4384,1479,1790,22
1814,4554,13126,21792,5613,4752,24
4544,4189,5277,40758,4212,1390,27
4329,3298,19388,41076,5845,3184,13
3177,4152,6176,32337,7556,4445,34
4629,3122,1595,2301,154,4061,18
4013,2592,4818,9947,1459,3086,16
5951,3887,12078,9084,8379,2723,49
3687,4900,16927,35093,3092,1349,59
5627,4773,5187,1192,2980,4458,6
1256,4767,3487,36758,7042,1912,2
4980,5374,10495,2124,8294,751,2
